i,j,tinisat,lingeling,dagster 2,dagster 3,dagster 5,dagster 9,dagster 17,dagster 33,dagster 65
28,1,24.46609902,4.387337685,19.70975447,12.79951549,13.56439137,13.59752941,14.70774579,16.46966624,20.35640669
28,2,16.91355538,27.67259383,14.47694612,8.895394325,7.037034988,7.518050909,7.198583126,7.694975615,9.023742437
28,3,29.26670098,29.84760523,22.50848341,9.734744787,8.462162495,8.499256372,8.983530998,9.323487282,11.13009095
28,4,87.40588522,151.1784186,56.36900449,21.78506112,20.32313156,19.7925477,20.12316322,21.60568857,26.82864666
28,5,140.3982084,209.3395982,51.13180971,28.37223577,24.85264039,26.09487247,25.96125412,28.13478875,35.83713222
28,6,428.3887029,416.2065523,147.9874458,104.977272,70.78201604,69.58713889,73.9763701,82.01482391,108.5288012
28,7,455.1574762,637.057512,109.3396475,68.1613071,49.38015938,49.18775129,47.96140504,54.08031058,68.20820451
28,8,1000.470151,945.2521873,276.9938896,154.0742655,107.2836368,98.18928528,93.18402362,102.0603895,139.4081445
28,9,1472.295602,1507.496924,265.7173595,160.4313874,110.1405635,94.66739988,92.5277679,103.5729964,119.578186
29,1,18.38444519,5.3201015,6.442637205,6.493317366,6.583535194,6.685718298,6.883957624,7.857880592,9.659791708
29,2,12.5309031,12.96989369,6.554027796,5.325737238,4.953180313,5.077818871,5.501628637,6.195948124,8.063376665
29,3,29.59384727,27.84850502,13.61305118,9.546897173,8.983222246,8.619248152,8.913651705,9.672514439,15.06101775
29,4,145.5235615,248.2604942,45.71279669,30.41995645,24.14023995,23.76610494,24.66978669,26.75573778,37.25418067
29,5,290.3350949,338.9134784,84.15604472,52.20392561,38.08722329,38.40425849,36.50023055,39.95973825,58.46257067
29,6,520.5088224,597.6735344,147.5676181,85.41682673,63.80499029,61.8333149,66.27156615,83.43140078,93.57854438
29,7,574.5627451,588.6282277,236.1386788,82.53540063,61.57272935,56.90558553,59.90246606,65.1084094,87.14461613
29,8,908.9679847,929.9278293,350.9176648,117.091763,87.75068665,78.90337181,79.79943752,88.83872676,119.8293552
29,9,1154.346924,1295.852963,204.9074049,124.1031785,94.08458161,87.45718026,87.55678535,92.99374533,105.7567532
30,1,4.877156258,2.834751606,1.415344715,1.388698816,1.472163916,1.481766701,1.603695631,1.732911348,2.165570736
30,2,12.55486226,20.31479406,5.349199533,5.025389671,4.819652557,5.011369705,5.252057076,5.124469042,7.406732798
30,3,39.47471404,113.6232843,23.48413301,16.8261776,13.44814515,13.80350709,14.1314218,15.14914656,18.49252009
30,4,68.74042225,133.8206315,23.73083973,15.35752726,14.14083099,15.52359962,15.27567387,16.44559145,19.98547292
30,5,271.3521318,338.9021769,102.6821225,59.90553069,45.11213875,43.12299943,42.44456768,44.80080104,58.40033579
30,6,279.719964,400.0063491,74.14251757,45.87779403,35.86227274,33.3679812,34.72928119,38.01055169,48.81283736
30,7,845.2249351,753.2579012,249.4809384,154.2152631,94.33706284,85.88391113,83.48484659,93.95499897,128.3529966
30,8,960.5732884,1061.746101,201.0934837,114.8931706,84.31483841,77.86699915,82.37895513,90.03171301,143.0567415
30,9,2107.998419,2633.575297,376.5789351,179.1398094,121.0309141,111.024646,111.7767844,124.7880933,145.7519486
31,1,1.257081032,2.336387634,0.7820136547,0.7085208893,0.8046975136,0.7980017662,0.9198794365,0.9726085663,1.352693558
31,2,154.0916247,19.45161486,11.97972965,8.563955784,7.148376465,7.181918621,7.797623634,8.416151285,9.790588856
31,3,27.62078929,36.9435885,10.15793872,8.35904479,7.627264977,7.693566799,7.775429726,9.098644733,11.40360832
31,4,119.6449044,171.8967569,39.59359455,27.66642737,23.04410076,26.81757188,27.47222447,28.07712555,34.74910641
31,5,170.6432068,314.4474332,42.02009916,26.39851665,21.50477648,21.92576051,21.75983,22.33751345,28.7017014
31,6,318.4289775,460.1705036,76.56935358,48.5177083,35.96655798,36.08759975,36.44814253,40.43992424,51.06619573
31,7,1057.19753,647.4147882,254.2805896,142.9563007,97.95128226,85.40885639,86.74845815,96.3017664,133.2714934
31,8,1191.311401,831.942461,241.3375192,146.8681843,98.66868019,90.85794568,96.46117187,104.5806127,142.3992133
31,9,1437.48088,1530.988859,337.9259796,192.032094,129.896728,109.0187037,117.0085289,127.260911,154.8509402
32,1,2.111101389,2.180556059,1.476209164,1.408703804,1.452213526,1.582175493,1.692050934,1.956531763,2.329140663
32,2,16.29158545,10.81983876,4.842471361,4.035813093,4.07318902,4.153767347,4.385140419,4.62839365,5.228041172
32,3,42.42720723,71.19179511,19.83114648,13.54195428,13.87714982,14.19511795,15.11959338,16.60215235,20.10193658
32,4,136.1339657,149.8026183,56.3310647,35.53641629,31.58948326,32.47325087,34.65653944,38.45202398,49.11911178
32,5,168.2624357,332.9166796,44.38819838,27.91386008,22.90832138,24.6228714,25.56459379,26.76938343,33.83201432
32,6,362.9854376,343.6218324,115.7737856,71.95604157,51.58622503,56.42315817,54.8932507,60.0925138,81.08294392
32,7,516.3224728,573.2871003,112.2505538,68.63701606,47.2895968,47.36489463,50.69941664,53.30462766,70.22817945
32,8,847.0105,861.9749916,163.1514132,100.0397549,71.96594048,69.1345427,71.00000024,77.33900785,100.5539198
32,9,1468.902977,1239.740292,322.1899514,182.5699928,129.8543212,131.3947079,126.6494641,141.3613358,177.4300923
33,1,4.933621645,4.910141945,4.351279974,5.740945101,5.800448179,6.105770826,6.444273949,6.937415123,8.352118015
33,2,12.68908882,10.3621254,4.595688581,3.633206129,3.708129406,3.919021845,4.164782524,4.452252388,5.139278173
33,3,33.79520082,39.99165082,14.57377148,10.16104531,10.23340249,10.16717815,10.67906404,11.43750811,13.34577775
33,4,86.875067,161.078449,24.76819754,18.71904063,17.20678163,18.46950269,18.77127337,20.15969753,24.57923198
33,5,130.9306769,241.2669704,44.23275876,31.08616829,22.60791516,24.14754844,24.36053133,26.47568727,34.13078094
33,6,473.7694974,464.8172164,137.3486731,79.344244,55.40072823,54.10923505,56.04180646,61.20057654,79.37803006
33,7,496.0895281,536.7742074,138.4907691,87.73349571,55.773314,53.70226216,54.4478631,60.08700514,79.2019136
33,8,1298.857969,998.1722212,277.6549535,157.2879345,103.7779241,93.89359117,95.82676458,103.6159515,142.1286371
33,9,2715.021046,1588.781982,414.8448138,232.0262685,144.6556625,129.3733392,128.0263216,140.0857692,163.7455673
34,1,11.81304359,3.098429918,1.549238443,1.528974771,1.572495699,1.638317347,1.811411142,1.905379057,2.468354464
34,2,7.340253115,9.857688427,3.512471199,3.084400415,3.203937054,3.20671463,3.521083117,3.884008169,4.448099613
34,3,36.07694793,62.83456993,27.17078638,16.12160087,14.36962938,12.50799751,13.49083114,14.48463583,16.80072498
34,4,94.54512858,149.1563089,30.05243111,20.0164845,17.62204099,19.09950376,19.31747794,20.73152256,25.83664846
34,5,167.7625489,261.9806917,51.68728781,35.23479581,26.3038795,25.99793935,27.23133492,29.94957399,38.48371506
34,6,362.4410496,452.6734235,106.353668,60.02333617,43.13469315,45.25581312,46.11639857,48.66080952,64.64138484
34,7,472.7097518,597.403692,100.6513233,64.4705503,47.38794804,45.64096045,48.07304668,48.83517218,66.50496745
34,8,1135.204628,964.6034584,245.9742987,142.2989166,93.48709393,87.21885252,92.3297987,95.36342907,130.2607133
34,9,1443.278219,1401.259287,348.6024344,204.5759728,130.6885507,112.1978414,117.4191134,130.6362751,153.612402
35,1,5.804486036,4.08927989,3.118445873,3.141470909,3.116207838,3.397241116,3.535566568,3.749115467,4.868848562
